Altium Designer Pick and Place Locations
E:\Jeff Geerling projekty\CM4_carrier_GPU\CM4GPU_Altium\Project Outputs for CM4GPU_v1\Pick Place for CM4GPU_v1.csv

========================================================================================================================
File Design Information:

Date:       30.11.22
Time:       09:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","MPN","Comment","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Footprint","Description"
"C100","DNP","DNP","62.2500","78.0500","360","TopLayer","CAP_0603_R","Capacitor; MLCC; DNP; TBD; TBD; TBD; DO NOT PLACE; SMD; 0603 (1608);"
"U252","RCLAMP0524PATCT","RCLAMP0524PA","18.8000","36.7500","270","TopLayer","ICC_SLP2510P8_250X100X60_P50_R","IC; TVS Arrays; ESD Protection; 4-Channel; 17kV Air; 12kV Contact; 0.3pF Capitance; TBD; SMD; TBD;"
"U350","RCLAMP0524PATCT","RCLAMP0524PA","14.0250","59.8000","270","TopLayer","ICC_SLP2510P8_250X100X60_P50_R","IC; TVS Arrays; ESD Protection; 4-Channel; 17kV Air; 12kV Contact; 0.3pF Capitance; TBD; SMD; TBD;"
"U351","RCLAMP0524PATCT","RCLAMP0524PA","14.0250","56.8000","270","TopLayer","ICC_SLP2510P8_250X100X60_P50_R","IC; TVS Arrays; ESD Protection; 4-Channel; 17kV Air; 12kV Contact; 0.3pF Capitance; TBD; SMD; TBD;"
"J700","PJ-063AH","8A, 2.0mm","6.4500","20.3500","0","TopLayer","CON_CUI_PJ-063AH","Connector; DC Barrel Jack;"
"C400","TBD","100nF","22.3500","86.4500","180","TopLayer","CAP_0603_R","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"R400","TBD","470R","22.3500","75.4000","180","TopLayer","RES_0603_R","Resistor; Thick Film; 470R; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R401","TBD","470R","22.3500","74.0000","180","TopLayer","RES_0603_R","Resistor; Thick Film; 470R; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"U401","RCLAMP0524PATCT","RCLAMP0524PA","22.0500","78.8000","270","TopLayer","ICC_SLP2510P8_250X100X60_P50_R","IC; TVS Arrays; ESD Protection; 4-Channel; 17kV Air; 12kV Contact; 0.3pF Capitance; TBD; SMD; TBD;"
"U400","RCLAMP0524PATCT","RCLAMP0524PA","22.0500","83.9500","270","TopLayer","ICC_SLP2510P8_250X100X60_P50_R","IC; TVS Arrays; ESD Protection; 4-Channel; 17kV Air; 12kV Contact; 0.3pF Capitance; TBD; SMD; TBD;"
"U251","USB2512B","USB2512B","32.4500","43.9000","360","TopLayer","ICC_QFN36_600X600X100_P50_EP_R","IC; USB Hub;"
"J250","TBD","USB Type A (Dual)","12.1200","38.0000","270","TopLayer","CON_USB_TYPE_A_2X","Connector; USB Type A (Dual); 2 x 4 pins; TBD; TBD; TBD; TBD; THT; THT;"
"C262","TBD","100nF","32.4500","49.5250","270","TopLayer","CAP_0603_R","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C263","TBD","100nF","38.0750","45.4000","180","TopLayer","CAP_0603_R","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C257","TBD","100nF","26.8250","45.4000","360","TopLayer","CAP_0603_R","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C258","TBD","100nF","38.0750","41.9000","180","TopLayer","CAP_0603_R","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C259","TBD","100nF","32.4500","38.2750","90","TopLayer","CAP_0603_R","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C260","TBD","100nF","26.8250","40.7000","360","TopLayer","CAP_0603_R","Capacitor; MLCC; 100nF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C264","DNP","DNP","26.8250","42.2000","360","TopLayer","CAP_0603_R","Capacitor; MLCC; DNP; TBD; TBD; TBD; DO NOT PLACE; SMD; 0603 (1608);"
"C265","DNP","DNP","38.0750","43.9000","180","TopLayer","CAP_0603_R","Capacitor; MLCC; DNP; TBD; TBD; TBD; DO NOT PLACE; SMD; 0603 (1608);"
"C268","DNP","DNP","30.5500","49.5250","270","TopLayer","CAP_0603_R","Capacitor; MLCC; DNP; TBD; TBD; TBD; DO NOT PLACE; SMD; 0603 (1608);"
"R250","GENERIC","12k","36.7000","56.5000","360","TopLayer","RES_0603_R","Resistor; Thick Film; GENERIC; TBD; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"R258","TBD","100R","26.8250","52.2000","180","TopLayer","RES_0603_R","Resistor; Thick Film; 100R; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R256","TBD","1M","20.7500","44.6500","90","TopLayer","RES_0603_R","Resistor; Thick Film; 1M; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R251","TBD","12k","23.8500","40.7000","360","TopLayer","RES_0603_R","Resistor; Thick Film; 12k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R253","RC0603FR-0710KL","10k","33.1000","52.2000","180","TopLayer","RES_0603_R","Resistor; Thick Film; 10k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R252","RC0603FR-0710KL","10k","33.8500","49.5250","270","TopLayer","RES_0603_R","Resistor; Thick Film; 10k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R254","RC0603FR-0710KL","10k","29.9000","52.2000","360","TopLayer","RES_0603_R","Resistor; Thick Film; 10k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"R255","RC0603FR-0710KL","10k","29.1500","49.5250","270","TopLayer","RES_0603_R","Resistor; Thick Film; 10k; 1%; 100mW; 100PPM; 75V; Standard; SMD; 0603 (1608);"
"C250","GENERIC","10uF","43.2500","55.8500","270","TopLayer","CAP_0603_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C252","GENERIC","10uF","36.7000","55.1000","360","TopLayer","CAP_0603_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C253","GENERIC","10uF","36.7000","52.2000","360","TopLayer","CAP_0603_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C254","GENERIC","10uF","39.9000","53.6000","180","TopLayer","CAP_0603_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C255","GENERIC","10uF","36.7000","53.6000","360","TopLayer","CAP_0603_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C251","GENERIC","100uF/6V3","18.4500","43.0000","270","TopLayer","CAP_1206_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 1206 (3216);"
"C266","TBD","18pF","20.7500","47.5500","270","TopLayer","CAP_0603_R","Capacitor; MLCC; 18pF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C267","TBD","18pF","20.7500","41.7500","90","TopLayer","CAP_0603_R","Capacitor; MLCC; 18pF; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C256","GENERIC","4u7","26.8250","46.8000","360","TopLayer","CAP_0603_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"C261","GENERIC","4u7","38.0750","46.8000","180","TopLayer","CAP_0603_R","Capacitor; MLCC; GENERIC; TBD; TBD; TBD; TBD; SMD; 0603 (1608);"
"F250","TBD","120 Ohm","26.8250","48.2000","360","TopLayer","FER_0603_R","Inductor; Ferrite Bead; 120 Ohm; 2000mA; TBD; TBD; TBD; SMD; 0603 (1608);"
"LED701","NCD0805G1","Green","151.3500","51.9000","180","TopLayer","LED_0805_GRN_R","Diode; LED; Green;"
"R257","TBD","DNP","26.8250","50.8000","180","TopLayer","RES_0603_R","Resistor; Thick Film; DNP; TBD; TBD; TBD; TBD; DO NOT PLACE; SMD; 0603 (1608);"
"U250","AP2553W6-7","AP2553W6-7","40.3500","56.0500","90","TopLayer","PKG_SOT23-6","IC; Current Limited Switch;"
"X250","","24.000MHz","23.1750","44.3000","270","TopLayer","OSC_3225_4P_R","Oscillator; Crystal;"
"LED700","NCD0805G1","Green","151.3500","54.1000","180","TopLayer","LED_0805_GRN_R","Diode; LED; Green;"
"LED501","NCD0805R1","Red","151.3500","64.7000","180","TopLayer","LED_0805_RED_R","Diode; LED; Red;"
"LED500","NCD0805G1","Green","151.3500","66.9000","180","TopLayer","LED_0805_GRN_R","Diode; LED; Green;"
"MOD100","CM4 Module","RPi CM4 Module","78.5500","62.9000","90","TopLayer","MOD_RPI_CM4_SOCKET_P40_C300","PCB Module; RPi Compute Module 4;"
"SW200","SS-3292S-L1","Slide switch","137.4000","96.8250","180","TopLayer","SWI_XKB_SS-3292S-L1","Switch; SPDT;"
"J450","TF-015","MicroSD Card (Slot)","36.3500","88.7500","180","TopLayer","CON_GCT_MEM2055_R","Connector; MicroSD Card Connector;"
"LED100","NCD0805G1","Green","151.3500","69.1000","180","TopLayer","LED_0805_GRN_R","Diode; LED; Green;"
"LED101","NCD0805R1","Red","151.3500","71.3000","180","TopLayer","LED_0805_RED_R","Diode; LED; Red;"
"J501","470531000","MLX 470531000","120.6800","43.6000","270","TopLayer","CON_MLX_470531000","Connector; 1 Row;"
"J350","HDMI-001","Standdard HDMI (Type A)","6.1000","60.0500","270","TopLayer","CON_HDMI_STD","Connector; HDMI v1.4+;"
"J400","HY911130A","HY911130A","10.9950","80.7500","270","TopLayer","CON_WRT_7499110122","Connector; RJ45;"
